junit/tests/extensions/ActiveTestTest,private,result,Ljunit/framework/TestResult;,Not using generics,0..1
junit/tests/extensions/ActiveTestTest,private,test,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/extensions/ActiveTestTest,private,result,Ljunit/framework/TestResult;,Not using generics,0..1
junit/tests/extensions/ActiveTestTest,private,suite,Ljunit/extensions/ActiveTestSuite;,Not using generics,0..1
junit/tests/extensions/AllTests,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/extensions/ExtensionTest$4,private,$anonymous0,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/extensions/ExtensionTest$5,private,$anonymous0,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/extensions/ExtensionTest$TornDown,private,test,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,test,Ljunit/framework/TestCase;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,wrapper,Ljunit/extensions/TestSetup;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,result,Ljunit/framework/TestResult;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,failure,Ljunit/framework/TestCase;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,error,Ljunit/framework/TestCase;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,wrapper,Ljunit/extensions/TestSetup;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,result,Ljunit/framework/TestResult;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,test,Ljunit/tests/WasRun;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,wrapper,Ljunit/tests/extensions/ExtensionTest$TornDown;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,result,Ljunit/framework/TestResult;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,test,Ljunit/tests/WasRun;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,wrapper,Ljunit/extensions/TestSetup;,Not using generics,0..1
junit/tests/extensions/ExtensionTest,private,result,Ljunit/framework/TestResult;,Not using generics,0..1
junit/tests/extensions/RepeatedTestTest,private,test,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/extensions/RepeatedTestTest,private,result,Ljunit/framework/TestResult;,Not using generics,0..1
junit/tests/extensions/RepeatedTestTest,private,test,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/extensions/RepeatedTestTest,private,result,Ljunit/framework/TestResult;,Not using generics,0..1
junit/tests/extensions/RepeatedTestTest,private,test,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/extensions/RepeatedTestTest,private,result,Ljunit/framework/TestResult;,Not using generics,0..1
junit/tests/framework/AllTests,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/framework/AssertionFailedErrorTest,private,error,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertionFailedErrorTest,private,error,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertionFailedErrorTest,private,error,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/ComparisonFailure;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/AssertTest,private,e,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/tests/framework/ComparisonFailureTest,private,failure,Ljunit/framework/ComparisonFailure;,Not using generics,0..1
junit/tests/framework/ComparisonFailureTest,private,e,Ljunit/framework/ComparisonFailure;,Not using generics,0..1
junit/tests/framework/ComparisonFailureTest,private,e,Ljunit/framework/ComparisonFailure;,Not using generics,0..1
junit/tests/framework/ComparisonFailureTest,private,e,Ljunit/framework/ComparisonFailure;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,t,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,t,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,t,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,t,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,t,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/framework/SuiteTest,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/framework/TestCaseTest,private,error,Ljunit/framework/TestCase;,Not using generics,0..1
junit/tests/framework/TestCaseTest,private,fails,Ljunit/tests/framework/TestCaseTest$TornDown;,Not using generics,0..1
junit/tests/framework/TestCaseTest,private,fails,Ljunit/framework/TestCase;,Not using generics,0..1
junit/tests/framework/TestCaseTest,private,success,Ljunit/framework/TestCase;,Not using generics,0..1
junit/tests/framework/TestCaseTest,private,failure,Ljunit/framework/TestCase;,Not using generics,0..1
junit/tests/framework/TestCaseTest,private,fails,Ljunit/tests/framework/TestCaseTest$TornDown;,Not using generics,0..1
junit/tests/framework/TestCaseTest,private,fails,Ljunit/framework/TestCase;,Not using generics,0..1
